DaystoDepart,RoundTrip,SeatClass,Time,Price
51,0,2,2,0.248898678
51,1,2,0,0.442731278
51,1,2,1,0.442731278
51,1,2,2,0.556167401
52,0,0,0,0.002202643
52,0,0,1,0.09030837
52,0,0,2,0.002202643
52,1,0,0,0.176211454
52,1,0,1,0.264317181
52,1,0,2,0.176211454
52,0,1,0,0.215859031
52,0,1,1,0.248898678
52,0,1,2,0.248898678
52,1,1,0,0.603524229
52,1,1,1,0.636563877
52,1,1,2,0.636563877
52,0,2,0,0.215859031
52,0,2,1,0.248898678
52,0,2,2,0.248898678
52,1,2,0,0.603524229
52,1,2,1,0.636563877
52,1,2,2,0.636563877
53,0,0,0,0.002202643
53,0,0,1,0.002202643
53,0,0,2,0.002202643
53,1,0,0,0.172907489
53,1,0,1,0.176211454
53,1,0,2,0.172907489
53,0,1,0,0.215859031
53,0,1,1,0.215859031
53,0,1,2,0.215859031
53,1,1,0,0.603524229
53,1,1,1,0.601321586
53,1,1,2,0.603524229
53,0,2,0,0.215859031
53,0,2,1,0.215859031
53,0,2,2,0.215859031
53,1,2,0,0.603524229
53,1,2,1,0.603524229
53,1,2,2,0.603524229
54,0,0,0,0.002202643
54,0,0,1,0.002202643
54,0,0,2,0.002202643
54,1,0,0,0.026431718
54,1,0,1,0.026431718
54,1,0,2,0.026431718
54,0,1,0,0.215859031
54,0,1,1,0.215859031
54,0,1,2,0.215859031
54,1,1,0,0.442731278
54,1,1,1,0.442731278
54,1,1,2,0.442731278
54,0,2,0,0.215859031
54,0,2,1,0.215859031
54,0,2,2,0.215859031
